Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)(10000000)
1524.5,76359400
1525.5,72509300
1526.5,67643600
1527.5,49019300
1528.5,24936600
1529.5,1828390
1530.5,0
1531.5,0
1532.5,0
1533.5,0
1534.5,0
1535.5,0
1536.5,0
1537.5,0
1538.5,0
1539.5,0
1540.5,0
1541.5,0
1542.5,0
1543.5,2779630
1544.5,1603950
1545.5,5560380
1546.5,20099700
1547.5,27512300
1548.5,16292700
1549.5,33473400
1550.5,46796500
1551.5,34206200
1552.5,9178580
1553.5,1464720
1554.5,0
1555.5,0
1556.5,0
1557.5,0
1558.5,0
1559.5,0
1560.5,0
1561.5,0
1562.5,0
1563.5,0
1564.5,0
1565.5,0
1566.5,0
1567.5,16230400
1568.5,39099400
1569.5,56343900
1570.5,66330200
1571.5,48410200
1572.5,48339000
1573.5,55960600
1574.5,9127910
1575.5,14024400
1576.5,5760020
1577.5,237993
1578.5,0
1579.5,0
1580.5,0
1581.5,0
1582.5,0
1583.5,0
1584.5,0
1585.5,0
1586.5,0
1587.5,0
1588.5,0
1589.5,0
1590.5,0
1591.5,4256860
1592.5,15619800
1593.5,27589300
1594.5,36775300
1595.5,28703300
1596.5,48733000
1597.5,13363200
1598.5,4243820
1599.5,1416630
1600.5,1218130
1601.5,0
1602.5,0
1603.5,0
1604.5,0
1605.5,0
1606.5,0
1607.5,0
1608.5,0
1609.5,0
1610.5,0
1611.5,0
1612.5,0
1613.5,0
1614.5,259122
1615.5,387374
1616.5,670044
1617.5,2009920
1618.5,1639160
1619.5,2915540
1620.5,4644640
1621.5,2337470
1622.5,4482560
1623.5,12875900
1624.5,878622
1625.5,2098850
1626.5,0
1627.5,0
1628.5,0
1629.5,0
1630.5,0
1631.5,0
1632.5,0
1633.5,0
1634.5,0
1635.5,0
1636.5,0
1637.5,0
1638.5,486229
1639.5,2639330
1640.5,8589960
1641.5,26947000
1642.5,25938600
1643.5,59187000
1644.5,48718500
1645.5,25368600
1646.5,16996200
1647.5,5172690
1648.5,11794600
1649.5,1110870
1650.5,0
1651.5,0
1652.5,0
1653.5,0
1654.5,0
1655.5,0
1656.5,0
1657.5,0
1658.5,0
1659.5,0
1660.5,0
1661.5,0
1662.5,0
1663.5,0
1664.5,1372750
1665.5,5730850
1666.5,1619450
1667.5,9444160
1668.5,5188060
1669.5,16610000
1670.5,12117100
1671.5,15425200
1672.5,12230300
1673.5,1351810
1674.5,0
1675.5,0
1676.5,0
1677.5,0
1678.5,0
1679.5,0
1680.5,0
1681.5,0
1682.5,0
1683.5,0
1684.5,0
1685.5,0
1686.5,1094260
1687.5,22610900
1688.5,47029200
1689.5,65095700
1690.5,64995300
1691.5,76359400
1692.5,76359400
1693.5,76359400
1694.5,44654900
1695.5,35125400
1696.5,25356200
1697.5,3558520
1698.5,0
1699.5,0
1700.5,0
1701.5,0
1702.5,0
1703.5,0
1704.5,0
1705.5,0
1706.5,0
1707.5,0
1708.5,0
1709.5,0
1710.5,473638
1711.5,21359700
1712.5,45418300
1713.5,63202500
1714.5,75055100
1715.5,76359400
1716.5,76359400
1717.5,74046900
1718.5,63113600
1719.5,36101500
1720.5,11661400
1721.5,1548770
1722.5,0
1723.5,0
1724.5,0
1725.5,0
1726.5,0
1727.5,0
1728.5,0
1729.5,0
1730.5,0
1731.5,0
1732.5,0
1733.5,0
1734.5,120490
1735.5,19308600
1736.5,33850400
1737.5,46350300
1738.5,58887200
1739.5,60072300
1740.5,62695300
1741.5,64143500
1742.5,39343300
1743.5,26487800
1744.5,14017100
1745.5,1976540
1746.5,0
1747.5,0
1748.5,0
1749.5,0
1750.5,0
1751.5,0
1752.5,0
1753.5,0
1754.5,0
1755.5,0
1756.5,0
1757.5,0
1758.5,0
1759.5,10037300
1760.5,12811700
1761.5,21006500
1762.5,24868100
1763.5,37101700
1764.5,34377800
1765.5,36548000
1766.5,21167900
1767.5,12388800
1768.5,2900260
1769.5,329503
1770.5,0
1771.5,0
1772.5,0
1773.5,0
1774.5,0
1775.5,0
1776.5,0
1777.5,0
1778.5,0
1779.5,0
1780.5,0
1781.5,0
1782.5,738052
1783.5,14161700
1784.5,33908200
1785.5,54537200
1786.5,54000100
1787.5,52362000
1788.5,29154100
1789.5,31981300
1790.5,21348600
1791.5,17963400
